"","Data","Isol"
"1060",2021-01-08,0.39
"1061",2021-01-09,0.44
"1062",2021-01-10,0.48
"1063",2021-01-11,0.4
"1064",2021-01-12,0.4
"1065",2021-01-13,0.4
"1066",2021-01-14,0.4
"1067",2021-01-15,0.39
"1068",2021-01-16,0.42
"1069",2021-01-17,0.46
"1070",2021-01-18,0.4
"1071",2021-01-19,0.39
"1072",2021-01-20,0.4
"1073",2021-01-21,0.4
"1074",2021-01-22,0.38
"1075",2021-01-23,0.41
"1076",2021-01-24,0.47
"1077",2021-01-25,0.47
"1078",2021-01-26,0.38
"1079",2021-01-27,0.38
"1080",2021-01-28,0.39
"1081",2021-01-29,0.38
"1082",2021-01-30,0.42
"1083",2021-01-31,0.47
"1084",2021-02-01,0.39
"1085",2021-02-02,0.39
"1086",2021-02-03,0.38
"1087",2021-02-04,0.38
"1088",2021-02-05,0.37
"1089",2021-02-06,0.41
"1090",2021-02-07,0.47
"1091",2021-02-08,0.39
"1092",2021-02-09,0.39
"1093",2021-02-10,0.38
"1094",2021-02-11,0.38
"1095",2021-02-12,0.37
"1096",2021-02-13,0.41
"1097",2021-02-14,0.48
"1098",2021-02-15,0.4
"1099",2021-02-16,0.4
"1100",2021-02-17,0.38
"1101",2021-02-18,0.38
"1102",2021-02-19,0.37
"1103",2021-02-20,0.4
"1104",2021-02-21,0.46
"1105",2021-02-22,0.38
"1106",2021-02-23,0.38
"1107",2021-02-24,0.4
"1108",2021-02-25,0.38
"1109",2021-02-26,0.37
"1110",2021-02-27,0.41
"1111",2021-02-28,0.47
"1112",2021-03-01,0.38
"1113",2021-03-02,0.38
"1114",2021-03-03,0.39
"1115",2021-03-04,0.39
"1116",2021-03-05,0.38
"1117",2021-03-06,0.44
"1118",2021-03-07,0.5
