"","datahora","casos","obitos","pop"
"183289","2020-12-05",38245,1396,1175501
"183934","2020-12-06",38290,1397,1175501
"184579","2020-12-07",38292,1397,1175501
"185224","2020-12-08",38579,1402,1175501
"185869","2020-12-09",38693,1402,1175501
"186514","2020-12-10",39112,1407,1175501
"187159","2020-12-11",39340,1410,1175501
"187804","2020-12-12",39544,1412,1175501
"188449","2020-12-13",39547,1412,1175501
"189094","2020-12-14",39574,1412,1175501
"189739","2020-12-15",39771,1417,1175501
"190384","2020-12-16",39771,1417,1175501
"191029","2020-12-17",40191,1418,1175501
"191674","2020-12-18",40577,1423,1175501
"192319","2020-12-19",40936,1429,1175501
"192964","2020-12-20",40936,1429,1175501
"193609","2020-12-21",41042,1429,1175501
"194254","2020-12-22",41437,1433,1175501
"194899","2020-12-23",41689,1443,1175501
"195544","2020-12-24",42042,1444,1175501
"196189","2020-12-25",42065,1444,1175501
"196834","2020-12-26",42081,1444,1175501
"197479","2020-12-27",42109,1446,1175501
"198124","2020-12-28",42162,1448,1175501
"198769","2020-12-29",42731,1463,1175501
"199414","2020-12-30",43127,1466,1175501
"200059","2020-12-31",43410,1474,1175501
"200704","2021-01-01",43502,1474,1175501
"201349","2021-01-02",43508,1475,1175501
"201994","2021-01-03",43561,1476,1175501
"202639","2021-01-04",43603,1476,1175501
"203284","2021-01-05",44035,1487,1175501
"203929","2021-01-06",44429,1493,1175501
"204574","2021-01-07",44822,1501,1175501
"205219","2021-01-08",45155,1505,1175501
"205864","2021-01-09",45602,1513,1175501
"206509","2021-01-10",45671,1515,1175501
"207154","2021-01-11",45748,1516,1175501
"207799","2021-01-12",46165,1529,1175501
"208444","2021-01-13",46506,1535,1175501
"209089","2021-01-14",46882,1539,1175501
"209734","2021-01-15",47258,1552,1175501
"210379","2021-01-16",47597,1555,1175501
"211024","2021-01-17",47731,1559,1175501
"211669","2021-01-18",47767,1560,1175501
"212314","2021-01-19",48222,1567,1175501
"212959","2021-01-20",48739,1579,1175501
"213604","2021-01-21",49024,1588,1175501
"214249","2021-01-22",49217,1596,1175501
"214894","2021-01-23",49677,1602,1175501
"215539","2021-01-24",49825,1602,1175501
"216184","2021-01-25",49894,1603,1175501
"216829","2021-01-26",50372,1612,1175501
"217474","2021-01-27",50870,1621,1175501
"218119","2021-01-28",51177,1633,1175501
"218764","2021-01-29",51476,1640,1175501
"219409","2021-01-30",51747,1646,1175501
"220054","2021-01-31",51795,1646,1175501
"220699","2021-02-01",51873,1646,1175501
"221344","2021-02-02",52140,1658,1175501
"221989","2021-02-03",52336,1669,1175501
"222634","2021-02-04",52725,1683,1175501
"223279","2021-02-05",53055,1692,1175501
"223924","2021-02-06",53391,1699,1175501
"224569","2021-02-07",53489,1699,1175501
"225214","2021-02-08",53515,1699,1175501
"225859","2021-02-09",53835,1713,1175501
"226504","2021-02-10",54187,1734,1175501
"227149","2021-02-11",54446,1746,1175501
"227794","2021-02-12",54799,1750,1175501
"228439","2021-02-13",55035,1759,1175501
"229084","2021-02-14",55112,1760,1175501
"229729","2021-02-15",55171,1760,1175501
"230374","2021-02-16",55449,1775,1175501
"231019","2021-02-17",55765,1786,1175501
"231664","2021-02-18",56065,1795,1175501
"232309","2021-02-19",56311,1801,1175501
"232954","2021-02-20",56529,1808,1175501
"233599","2021-02-21",56672,1811,1175501
"234244","2021-02-22",56741,1811,1175501
"234889","2021-02-23",57069,1828,1175501
"235534","2021-02-24",57417,1835,1175501
"236179","2021-02-25",57605,1853,1175501
"236824","2021-02-26",57902,1860,1175501
